Loại cửa hàng	Tên cửa hàng	Địa chỉ cửa hàng	Số sao trên ShopeeFood	Số lượt đánh giá trên ShopeeFood	Thời gian mở cửa	Giá thấp nhất	Giá cao nhất	Phí dịch vụ	Số sao trên Foody	Số lượt đánh giá trên Foody
Quán ăn	Bánh Tráng Huy Quân - Trần Huy Liệu	101 C5 Trần Huy Liệu, P. Giảng Võ, Ba Đình, Hà Nội	4.5	999+	11:30 - 20:30	10,000	25,000	0.0%	10.0	1
Café/Dessert	Kim Sinh Tố &amp; Nước Ép - Láng Hạ	7 Ngõ 5 Láng Hạ, P. Thành Công, Ba Đình, Hà Nội	4.5	100+	07:02 - 21:30	20,000	30,000	0.0%	8.4	1
Quán ăn	Vua Bún Hải Sản - Văn Cao	61 Văn Cao, P. Liễu Giai, Ba Đình, Hà Nội	4.5	500+	07:30 - 14:30 | 17:00 - 22:30	35,000	70,000	0.0%	9.6	2
Quán ăn	Bánh Cốm Nguyên Ninh 71 - Bánh Cốm Ngon - Hàng Than	73 Hàng Than, P. Nguyễn Trung Trực, Ba Đình, Hà Nội	4.5	100+	00:00 - 23:59	50,000	60,000	0.0%	10.0	3
Quán ăn	Bánh Canh Minh Châu	29 Đào Tấn, P. Cống Vị, Ba Đình, Hà Nội	4.5	100+	08:30 - 14:30 | 17:00 - 21:00	20,000	70,000	0.0%	8.4	1
Café/Dessert	Kem Trái Dừa &amp; Thạch Dừa Xiêm - Nguyễn Chí Thanh	34 Nguyễn Chí Thanh, Ba Đình, Hà Nội	4.5	100+	09:00 - 23:59	10,000	60,000	0.0%	7.4	9
Quán ăn	Bún Cá Chú Quảng	101 C6 Trần Huy Liệu, P. Giảng Võ, Ba Đình, Hà Nội	4.5	999+	06:45 - 14:00 | 17:00 - 21:00	35,000	50,000	0.0%	8.1	3
Café/Dessert	Sữa Chua Mít Cô Yến - Yên Phụ	102 Yên Phụ, P. Nguyễn Trung Trực, Ba Đình, Hà Nội	4.5	100+	10:00 - 23:00	15,000	30,000	0.0%	6.9	4
Quán ăn	Cơm Tấm Cơm Niêu Zô Zô	35 D1 Trần Huy Liệu, P. Giảng Võ, Ba Đình, Hà Nội	4.5	100+	10:15 - 14:30	39,000	49,000	0.0%	7.9	5
Shop Online	Liên Food - Cơm Văn Phòng &amp; Mì Trộn Indomie Online	17B Ngõ 10 Láng Hạ (Đối Diện Bông Shop), P. Thành Công, Ba Đình, Hà Nội	4.5	500+	10:00 - 15:50 | 15:59 - 21:30	20,000	60,000	0.0%	7.9	3
Shop Online	Jun Hô Food - Khô Gà &amp; Heo Khô Cháy Tỏi - Shop Online	14 Ngõ 10 Láng Hạ, P. Thành Công, Ba Đình, Hà Nội	4.5	100+	07:00 - 23:55	70,000	200,000	0.0%	7.8	4
Quán ăn, Ăn vặt/vỉa hè	Tiệm Chè MeMe - Chè Bưởi, Cốt Dừa Cafe	19 Ngõ 158/2/49 Ngọc Hà, P. Ngọc Hà, Ba Đình, Hà Nội	4.5	100+	00:00 - 02:30 | 11:00 - 23:59	20,000	70,000	0.0%	9.0	1
Café/Dessert	Han Cha - Trà Sữa	17 Ngõ 81 Linh Lang, P. Cống Vị, Ba Đình, Hà Nội	4.5	50+	09:00 - 21:59	15,000	60,000	0.0%	8.0	1
Shop Online	INNIE Bakery &amp; Drink	108B5 Núi Trúc , P. Giảng Võ, Ba Đình, Hà Nội	4.5	100+	09:00 - 19:30	60,000	100,000	0.0%	8.2	1
Café/Dessert	The Coffee Cart	5A Hoàng Hoa Thám, P. Ngọc Hà, Ba Đình, Hà Nội	4.5	10+	08:00 - 22:00	20,000	40,000	0.0%	7.8	4
Quán ăn	NemZone - Nem Nướng Ngon Lạ	18 Ngõ 266 Đội Cấn, P. Cống Vị, Ba Đình, Hà Nội	4.5	100+	09:00 - 17:45	55,000	299,000	0.0%	7.7	14
Quán ăn	An Cựu - Bún Bò Huế - Đội Cấn	151 Đội Cấn, P. Đội Cấn, Ba Đình, Hà Nội	4.5	999+	07:30 - 13:45 | 17:15 - 21:00	30,000	45,000	0.0%	7.7	15
Quán ăn	Comi ChefHome - Ẩm Thực Trung Hoa Phong Vị Việt	34 Ngọc Khánh, P. Ngọc Khánh, Ba Đình, Hà Nội	4.5	999+	10:00 - 14:00 | 17:00 - 22:00	20,000	100,000	0.0%	7.7	2
Quán ăn	Miến Trộn - Tú Béo	102A5 Thành Công, Ba Đình, Hà Nội	4.5	999+	08:00 - 21:00	30,000	50,000	0.0%	7.8	50
Café/Dessert	KayTea - Trúc Bạch	93 Trúc Bạch, P. Trúc Bạch, Ba Đình, Hà Nội	5.0	100+	09:15 - 21:45	75,000	118,000	0.0%	7.6	1
Café/Dessert	THAIYEN CAFE - CAFEYEN - Quán Thánh	180 Quán Thánh, P. Quán Thánh, Ba Đình, Hà Nội	4.5	500+	07:30 - 17:30	20,000	100,000	0.0%	9.8	1
Café/Dessert	Tranquil Books &amp; Coffee - Nguyễn Biểu	18B Nguyễn Biểu, P. Quán Thánh, Ba Đình, Hà Nội	4.5	10+	08:00 - 22:00	30,000	70,000	0.0%	7.6	31
Café/Dessert	Highlands Coffee - VTV Outside	43 Nguyễn Chí Thanh, Ba Đình, Hà Nội	4.5	999+	07:30 - 22:30	9,000	65,000	0.0%	7.8	65
Café/Dessert	Royaltea - Đội Cấn	12 Ngõ 279 Đội Cấn, P. Liễu Giai, Ba Đình, Hà Nội	4.5	999+	08:20 - 23:00	30,000	50,000	0.0%	6.7	8
Quán ăn	Quán Lươn 34	34 Yên Ninh, Ba Đình, Hà Nội	4.5	100+	11:00 - 13:30 | 17:00 - 21:00	30,000	88,000	0.0%	7.9	7
Quán ăn	Trường Tâm - Nem, Nộm &amp; Đồ Ăn Vặt	105 A5 Thành Công, Ba Đình, Hà Nội	4.5	999+	09:00 - 22:00	40,000	88,000	0.0%	7.2	45
Café/Dessert	Starbucks Coffee - Vincom Metropolis	Tầng 1, Tầng 1, Vincom Metropolis, Liễu Giai, P. Liễu Giai, Ba Đình, Hà Nội	4.5	999+	07:00 - 21:30	30,000	60,000	0.0%	7.6	7
Quán ăn	Loan Hồ - Bún Dọc Mùng	34 Nguyễn Chí Thanh, P. Ngọc Khánh, Ba Đình, Hà Nội	4.5	100+	06:30 - 22:00	30,000	50,000	0.0%	8.0	1
Café/Dessert	Phúc Long Ngách 173/24 Hoàng Hoa Thám (không có menu)	25 Ngách 173/24 Hoàng Hoa Thám, P. Ngọc Hà, Ba Đình, Hà Nội	4.5	100+	07:30 - 21:00	35,000	75,000	0.0%	9.4	2
Quán ăn	Bánh Mì V+ - Đội Cấn (không có menu)	132 Đội Cấn, Ba Đình, Hà Nội	4.5	999+	06:00 - 19:00	20,000	20,000	0.0%	0	0
Café/Dessert	Kem Swensen's - Vincom Liễu Giai	Tầng 3, Tầng 3 Vincom Metropolis, 29 Liễu Giai, P. Ngọc Khánh, Ba Đình, Hà Nội	4.5	50+	10:00 - 21:15	109,000	490,000	0.0%	8.0	4
Café/Dessert	Lemon House Coffee - Giảng Võ	144 D2 Giảng Võ, P. Giảng Võ, Ba Đình, Hà Nội	4.5	999+	08:15 - 22:00	20,000	50,000	0.0%	7.0	90
Tiệm bánh	Bánh Mì Hương Lan	6C Láng Hạ, P. Thành Công, Ba Đình, Hà Nội	4.5	999+	06:00 - 19:30	15,000	50,000	0.0%	7.3	28
Ăn vặt/vỉa hè	Ốc &amp; Ăn Vặt - Thành Công	104A5 TT. Thành Công, P. Thành Công, Ba Đình, Hà Nội	4.5	999+	09:30 - 22:00	30,000	50,000	0.0%	6.7	25
Quán ăn	Gia Đình Quán Ngon - Bánh Xèo &amp; Nem Lụi - 153A Đội Cấn	153A Đội Cấn, Ba Đình, Hà Nội	4.5	999+	10:30 - 21:30	10,000	30,000	0.0%	7.2	35
Quán ăn	Bún Hải Sản - Kim Mã	539 Kim Mã, P. Ngọc Khánh, Ba Đình, Hà Nội	4.5	999+	08:30 - 15:00 | 18:00 - 21:00	30,000	50,000	0.0%	7.3	14
Ăn vặt/vỉa hè	Kem Dừa 18	18 Ngõ 678 Đê La Thành, P. Giảng Võ, Ba Đình, Hà Nội	4.5	100+	00:00 - 23:59	20,000	50,000	0.0%	8.3	7
Café/Dessert	Ding Tea - Hàng Than	27 Hàng Than, P. Nguyễn Trung Trực, Ba Đình, Hà Nội	4.5	999+	08:00 - 23:15	25,000	50,000	0.0%	7.7	15
Nhà hàng	Gà Rán KFC - Nguyễn Thái Học - VMQ	87 Nguyễn Thái Học, P. Điện Biên, Ba Đình, Hà Nội	4.5	999+	10:00 - 21:59	50,000	110,000	0.0%	7.5	38
Ăn vặt/vỉa hè	Hiền Hảo - Quán Chè Trân Châu To, Bánh Gối &amp; Nem Chua	Ngõ 9 Hoè Nhai, Ba Đình, Hà Nội	4.5	999+	08:00 - 19:00	20,000	30,000	0.0%	7.6	26
Café/Dessert	Mê Quán - Nước Ép 100% Nguyên Chất	32 Hẻm 6/12/5 Đội Nhân, P. Vĩnh Phúc, Ba Đình, Hà Nội	4.5	50+	00:00 - 23:59	10,000	30,000	0.0%	8.4	1
Café/Dessert	Trà Chanh Bụi Phố - Nguyên Hồng	101A2 Nguyên Hồng, P. Thành Công, Ba Đình, Hà Nội	4.5	500+	09:00 - 23:00	20,000	40,000	0.0%	7.6	1
Shop/Cửa hàng	Bánh Cốm Nguyên Ninh - Bánh Cốm Ngon Số 1 Hàng Than	73 Hàng Than, Ba Đình, Hà Nội	4.5	100+	05:00 - 22:59	5,000	500,000	0.0%	10.0	6
Quán ăn	Hùng Thái - Bún Chả Hàng Mành	107 B1 Thành Công, Ba Đình, Hà Nội	4.5	999+	07:00 - 19:40	20,000	33,000	0.0%	7.4	90
Quán ăn	Five Star Vietnam - Gà Rán &amp; Khoai Chiên - Thành Công	101 C10 TT. Thành Công, Ba Đình, Hà Nội	4.5	999+	06:30 - 21:00	10,000	50,000	0.0%	6.2	8
Café/Dessert	TuTea - Trà Bí Đao -  Hoàng Hoa Thám	12 Hoàng Hoa Thám, Đường Nội Khu, Toà Sungrandcity, P. Ngọc Hà, Ba Đình, Hà Nội	4.5	100+	08:00 - 23:30	18,000	20,000	0.0%	9.8	5
Quán ăn	Đệ Nhất Bún Đậu, Bún Bò Nam Bộ - Kim Mã	1 Ngách 14 Ngõ 629 Kim Mã, P. Ngọc Khánh, Ba Đình, Hà Nội	4.5	500+	09:00 - 15:00	25,000	100,000	0.0%	7.6	21
Café/Dessert	Trà Sữa Gong Cha - 貢茶 - Giảng Võ	Tầng 1, D2 Giảng Võ, P. Giảng Võ, Ba Đình, Hà Nội	4.5	999+	09:30 - 21:45	40,000	80,000	0.0%	7.4	424
Café/Dessert, Tiệm bánh	Paris Gâteaux - Bánh Ngọt &amp; Trà Sữa - Giảng Võ	Tầng 1 C4 Giảng Võ, P. Giảng Võ, Ba Đình, Hà Nội	4.5	100+	06:30 - 22:15	10,000	450,000	0.0%	7.3	179
Quán ăn	Container Beer - Cơm Tấm	56 Đào Tấn, P. Cống Vị, Ba Đình, Hà Nội	4.5	100+	10:15 - 14:00 | 17:00 - 21:00	20,000	200,000	0.0%	7.7	7
Ăn vặt/vỉa hè	Kem Xôi Chè Thái Lan - Giảng Võ	289 Kim Mã (117 A5 TT Giảng Võ ), P. Giảng Võ, Ba Đình, Hà Nội	4.5	999+	10:00 - 21:30	15,000	30,000	0.0%	6.7	137
Quán ăn	Ngọc Dung - Cháo Lòng &amp; Bánh Đa Trộn	107 E2 Vĩnh Phúc, Ba Đình, Hà Nội	4.5	999+	07:05 - 19:15	20,000	50,000	0.0%	7.1	42
Quán ăn	Bún Ốc Bà Thoa - Bún Ốc Gia Truyền - 19 Kim Mã Thượng	19 Kim Mã Thượng, Ba Đình, Hà Nội	4.5	100+	06:00 - 18:30	20,000	50,000	0.0%	7.1	33
Café/Dessert	Trà Sữa Tocotoco - Hồ Tùng Mậu	60 Hồ Tùng Mậu, P. Mai Dịch, Cầu Giấy, Hà Nội	4.5	999+	09:30 - 22:30	30,000	60,000	0.0%	6.5	100
