Loại cửa hàng	Tên cửa hàng	Địa chỉ cửa hàng	Số sao trên ShopeeFood	Số lượt đánh giá trên ShopeeFood	Thời gian mở cửa	Giá thấp nhất	Giá cao nhất	Phí dịch vụ	Số sao trên Foody	Số lượt đánh giá trên Foody
Quán ăn	Bún Mắm Nêm Dì Út - Sơn Kỳ	70 Sơn Kỳ, P. Sơn Kỳ, Tân Phú, TP. HCM	4.5	10+	11:00 - 20:00	30,000	50,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	OMG - Gà Chiên Giòn Đài Loan - Nguyễn Trãi	599 Nguyễn Trãi, P. 7, Quận 5, TP. HCM	4.5	999+	12:30 - 22:30	15,000	120,000	0.0%	6.4	12
Quán ăn	Cháo Ếch Cây Phượng	14 Đường Số 49, P. 4, Quận 4, TP. HCM	4.5	10+	13:00 - 23:00	40,000	95,000	0.0%	<span>_._</span>	0
Shop Online	Sumi - Ăn Vặt Cá Viên - Shop Online (không có menu)	148/12/25 Tôn Đản, P. 8, Quận 4, TP. HCM	4.5	500+	00:00 - 03:00 | 12:00 - 23:59	5,000	30,000	0.0%	0	0
Ăn vặt/vỉa hè	Nhà Dâu - Đường Số 13	47A Đường Số 13, P. 4, Quận 4, TP. HCM	4.5	100+	13:00 - 22:00	50,000	500,000	0.0%	<span>_._</span>	0
Quán ăn, Khu Ẩm Thực	Quán Lẩu 69 - Lẩu Cá - Trần Xuân Hòa	Số 10 Trần Xuân Hòa, P. 7, Quận 5, TP. HCM	4.5	500+	11:00 - 22:30	0	0	0.0%	10.0	3
Quán ăn	Lẩu Chay Gấu Mèo - Bún Thái Chay - Bình Thới	262 Bình Thới , P. 10, Quận 11, TP. HCM	4.5	10+	11:00 - 22:00	30,000	100,000	0.0%	<span>_._</span>	0
Quán ăn	Sủi Cảo 162 - Hà Tôn Quyền	162 Hà Tôn Quyền, P. 4, Quận 11, TP. HCM	4.5	999+	11:00 - 22:30	40,000	110,000	0.0%	7.4	52
Quán ăn	Ăn Vặt Nhà Ri - Đoàn Văn Bơ	500/32 Đoàn Văn Bơ, P. 14, Quận 4, TP. HCM	5.0	7	10:00 - 19:00	20,000	80,000	0.0%	10.0	1
Ăn vặt/vỉa hè	Benty Food - Đồ Viên Chiên &amp; Sữa Chua Dẻo - Tôn Đản	266/18 Tôn Đản, P. 8, Quận 4, TP. HCM	0	0	12:00 - 21:00	7,000	40,000	0.0%	0	0
Café/Dessert	Chou Chou Milk Tea (không có menu)	Nhà Đối Diện 39/27 Đường Số 23, Khu Phố 5, P. Hiệp Bình Chánh, Thủ Đức, TP. HCM	4.5	500+	13:00 - 23:30	12,000	30,000	0.0%	0	0
Ăn vặt/vỉa hè	Quán Quân - Ăn Vặt Xiên Que - Quang Trung (không có menu)	837/16 Quang Trung, P. 12, Gò Vấp, TP. HCM	4.5	100+	11:00 - 23:59	0	0	0.0%	0	0
Nhà hàng, Ăn chay	PASHA GARDEN LOUNGE - Món Ăn Thổ Nhĩ Kỳ - Tống Hữu Định	Số 37 Tống Hữu Định, P. Thảo Điền, Thủ Đức, TP. HCM	4.5	10+	11:30 - 22:50	0	0	0.0%	<span>_._</span>	0
Quán ăn	Cơm Tấm Như Quỳnh - Cầu Xéo	1 Cầu Xéo, P. Tân Sơn Nhì, Tân Phú, TP. HCM	4.5	100+	00:00 - 23:59	5,000	50,000	0.0%	<span>_._</span>	0
Café/Dessert	Lee's Tea - Trà Sữa - Minh Phụng	453 Minh Phụng, P. 10, Quận 11, TP. HCM	4.5	10+	10:00 - 19:00	0	0	0.0%	10.0	8
Quán ăn	Gà Rán Hàn Quốc 20K - Dạ Nam (không có menu)	115 Dạ Nam, P. 3, Quận 8, TP. HCM	4.5	500+	13:45 - 22:00	20,000	158,000	0.0%	0	0
Nhà hàng	Pizza Reale - Nguyễn Đăng Giai (không có menu)	29 Nguyễn Đăng Giai, P. Thảo Điền, Thủ Đức, TP. HCM	4.5	100+	11:00 - 21:45	70,000	280,000	0.0%	8.7	14
Quán ăn	Minh 607 - Cơm Tấm Đêm	607 Lê Văn Thọ, P. 14, Gò Vấp, TP. HCM	4.5	500+	00:01 - 04:00 | 11:00 - 23:59	12,000	35,000	0.0%	1.0	1
Café/Dessert	Coffee &amp; Milktea - Vid Vid	169 Xóm Chiếu, P. 16, Quận 4, TP. HCM	0	0	09:00 - 22:00	16,000	40,000	0.0%	0	0
Nhà hàng	Yukino Organic Foods - Bentos &amp; Burgers	39 Nguyễn Duy Hiệu, P. Thảo Điền, Thủ Đức, TP. HCM	5.0	10+	11:00 - 18:00	9,000	185,000	0.0%	7.5	13
Ăn vặt/vỉa hè	Rùa Bụng Bự - Ăn Vặt - Phan Huy Ích 	445/1 Phan Huy Ích, P. 14, Gò Vấp, TP. HCM	0	0	12:00 - 23:59	0	0	0.0%	0	0
