Loại cửa hàng	Tên cửa hàng	Địa chỉ cửa hàng	Số sao trên ShopeeFood	Số lượt đánh giá trên ShopeeFood	Thời gian mở cửa	Giá thấp nhất	Giá cao nhất	Phí dịch vụ	Số sao trên Foody	Số lượt đánh giá trên Foody
Quán ăn	Quán Toàn - Vựa Hải Sản - Nguyễn Thị Tần	94 Nguyễn Thị Tần, P. 2, Quận 8, TP. HCM	4.5	50+	08:00 - 21:00	40,000	600,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Anh Ba Gạo - Fast Food	61/23/1 Đường Số 48, P. Hiệp Bình Chánh, Thủ Đức, TP. HCM	4.5	100+	06:00 - 23:30	5,000	8,000	0.0%	4.5	2
Quán ăn	Chè Thái &amp; Trà sữa - Hiểu Lam	61/24 Đường Số 48, P. Hiệp Bình Chánh, Thủ Đức, TP. HCM	4.5	10+	12:00 - 22:00	15,000	30,000	0.0%	<span>_._</span>	0
Quán ăn	Gà Ta Quán - Đường Số 44	35/8 Đường Số 44, P. 14, Gò Vấp, TP. HCM	5.0	10+	08:00 - 16:30 | 19:00 - 22:20	15,000	340,000	0.0%	<span>_._</span>	0
Quán ăn	Phở Hà Nội An Nhiên - Bờ Bao Tân Thắng (không có menu)	20/14 Bờ Bao Tân Thắng, P. Sơn Kỳ, Tân Phú, TP. HCM	0.0	1	06:00 - 22:00	5,000	99,000	0.0%	0	0
Café/Dessert	Trà sữa Huy's - Vườn Lài	461 Vườn Lài, P. Phú Thọ Hòa, Tân Phú, TP. HCM	4.5	100+	08:00 - 22:00	15,000	48,000	0.0%	<span>_._</span>	0
Café/Dessert	Měi美 BlackTea - Trà Sữa &amp; Sandwich - Đoàn Văn Bơ	772 Đoàn Văn Bơ, P. 16, Quận 4, TP. HCM	4.5	10+	00:01 - 02:00 | 10:00 - 23:59	10,000	100,000	0.0%	<span>_._</span>	0
Quán ăn	Dimsum Uncle - Minh Phụng	322/9 Minh Phụng, P. 2, Quận 11, TP. HCM	4.5	10+	08:00 - 22:00	20,000	50,000	0.0%	<span>_._</span>	0
Quán ăn	Mr.Bún - Bún Thịt Nướng - Lê Trọng Tấn	380/25 Lê Trọng Tấn, P. Tây Thạnh, Tân Phú, TP. HCM	4.5	10+	00:00 - 02:00 | 08:00 - 23:59	5,000	50,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Juice Holic - Sinh Tố &amp; Nước Ép Trái Cây - Trần Xuân Soạn	793/35A3 Trần Xuân Soạn, P. Tân Hưng, Quận 7, TP. HCM	4.5	50+	10:00 - 23:00	40,000	50,000	0.0%	<span>_._</span>	0
Café/Dessert	Cà Phê Ông Bầu - Xóm Vôi	37 Xóm Vôi, P. 14, Quận 5, TP. HCM	4.5	100+	07:00 - 20:30	16,000	35,000	0.0%	8.6	7
Quán ăn	3M Gà Rán - Trà Sữa &amp; Bắp Rang Bơ - Gò Dầu	186 Gò Dầu, P. Tân Qúy, Tân Phú, TP. HCM	4.5	10+	08:15 - 22:30	18,000	30,000	0.0%	<span>_._</span>	0
Tiệm bánh, Shop Online	Green Detox  - Giảm Cân Thải độc - Nguyễn Tất Thành	454 Nguyễn Tất Thành, P. 18, Quận 4, TP. HCM	4.5	50+	07:00 - 22:00	0	0	0.0%	<span>_._</span>	0
Quán ăn	Uncle Park - Cơm Chiên, Mì Xào &amp; Cơm Cuộn - Vũ Tông Phan	204 Vũ Tông Phan, P. An Phú, Thủ Đức, TP. HCM	0.0	2	09:00 - 21:00	0	0	0.0%	<span>_._</span>	0
Quán ăn	Bún Thái Lý Sơn - Trần Xuân Soạn	1041/62/59/30 Trần Xuân Soạn, P. Tân Hưng, Quận 7, TP. HCM	4.5	50+	10:00 - 22:00	15,000	120,000	0.0%	<span>_._</span>	0
Café/Dessert	Newdays Japanese Matcha Cafe - Đường Số 59	148/21 Đường Số 59, P. 14, Gò Vấp, TP. HCM	4.5	999+	09:15 - 18:45	22,000	48,000	0.0%	6.8	220
Café/Dessert	Trái Cây Sạch &amp; Nước Ép Sunny - Quốc Lộ 13	520/34/1A Quốc Lộ 13, Tổ 4, KP. 6, P. Hiệp Bình Phước, Thủ Đức, TP. HCM	4.5	10+	00:00 - 23:59	25,000	60,000	0.0%	<span>_._</span>	0
Quán ăn	Góc Bếp Nhà Mýt - Mì Trộn Cay &amp; Set Lẩu Tokbokki Tự Nấu	49/14/93 Đường Số 51, P. 14, Gò Vấp, TP. HCM	4.5	500+	08:00 - 20:00	3,000	100,000	0.0%	<span>_._</span>	0
Quán ăn	A Mon - Hamburger - Lò Siêu	11 Lò Siêu, P. 16, Quận 11, TP. HCM	4.5	100+	09:00 - 21:40	0	0	0.0%	<span>_._</span>	0
Café/Dessert	Trà Sữa RuLong Tea - Đường S11	29 Đường S11, P. Tây Thạnh, Tân Phú, TP. HCM	4.5	10+	08:00 - 21:30	5,000	99,000	0.0%	<span>_._</span>	0
Tiệm bánh	Hồng Nga - Bánh Mì Bình Định - Thoại Ngọc Hầu	290 Thoại Ngọc Hầu, P. Phú Thạnh, Tân Phú, TP. HCM	0.0	2	06:00 - 23:59	0	0	0.0%	<span>_._</span>	0
Quán ăn	Bếp Bà Nhiên - Ăn Vặt &amp; Chân Gà - Dương Bá Trạc	231/37B  Dương Bá Trạc, P. 1, Quận 8, TP. HCM	5.0	1	09:00 - 22:00	50,000	120,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Khô Ngon &amp; Ăn Vặt Sạch - Tuyền Minh	258/62 Dương Bá Trạc, P. 2, Quận 8, TP. HCM	4.5	100+	00:00 - 00:00 | 04:30 - 23:59	9,000	85,000	0.0%	<span>_._</span>	0
Café/Dessert, Quán ăn	Khánh Chi - Cơm Văn Phòng	629/17N Hưng Phú, P. 9, Quận 8, TP. HCM	4.5	500+	09:30 - 17:00	15,000	50,000	0.0%	9.2	53
Ăn vặt/vỉa hè, Shop Online	Vú Heo Nướng Yến Nhi - Shop Online	660 Hưng Phú, P. 10, Quận 8, TP. HCM	4.5	100+	07:00 - 23:59	20,000	200,000	0.0%	<span>_._</span>	0
Quán ăn	Thanh Nga - Cơm Tấm &amp; Bún Thịt Nướng	017 Lô A Kênh 19 Tháng 5B, P. Tây Thạnh, Tân Phú, TP. HCM	4.5	500+	06:00 - 18:30	20,000	20,000	0.0%	8.2	3
Café/Dessert	Royaltea Take Away - Lê Đức Thọ	1414 Lê Đức Thọ, P. 13, Gò Vấp, TP. HCM	4.5	500+	09:00 - 21:00	35,000	55,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Há Cảo Phụng Tỷ - Há Cảo &amp; Xíu Mại - Trần Quang Cơ	33/18/14 Trần Quang Cơ, P. Phú Thạnh, Tân Phú, TP. HCM	4.5	10+	10:00 - 21:00	0	0	0.0%	<span>_._</span>	0
Café/Dessert	Heekcaa Tea &amp; Coffee - Lê Đức Thọ	1414 Lê Đức Thọ, P. 13, Gò Vấp, TP. HCM	4.5	10+	09:00 - 21:00	20,000	50,000	0.0%	<span>_._</span>	0
Café/Dessert	Trà Sữa Swan Tea - Nguyễn Văn Quá	296 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM	4.5	100+	09:00 - 21:00	26,000	55,000	0.0%	9.6	1
Quán ăn	Trà Đào Dằm - Âu Dương Lân (không có menu)	154/45/15 Âu Dương Lân, P. 3, Quận 8, TP. HCM	4.5	100+	00:00 - 02:00 | 07:00 - 18:00 | 20:00 - 23:59	20,000	50,000	0.0%	0	0
Shop Online	Cơm Gà - G-Land Đồ Ăn Vặt - Tân Kỳ Tân Quý	398 Tân Kỳ Tân Quý, P. Sơn Kỳ, Tân Phú, TP. HCM	4.5	999+	00:00 - 02:00 | 06:00 - 23:59	8,000	35,000	0.0%	6.5	10
Shop Online	Kiwi Shop - Ăn Vặt	106/3/11 Đường Số 51, P. 14, Gò Vấp, TP. HCM	4.5	50+	09:00 - 22:00	65,000	200,000	0.0%	<span>_._</span>	0
Quán ăn	Cơm Tấm Kim Tiền 3 - Tân Quý	129 Tân Quý, P. Tân Quý, Tân Phú, TP. HCM	4.5	100+	07:30 - 20:00	35,000	55,000	0.0%	<span>_._</span>	0
Quán ăn, Giao cơm văn phòng	Cơm Tấm Chung Cư - Cơm Tấm - Tây Thạnh	Lô A-017  Kênh 19 Tháng 5B, P. Tây Thạnh, Tân Phú, TP. HCM	4.5	50+	06:30 - 18:30	0	0	0.0%	<span>_._</span>	0
Quán ăn	Pé Nhỏ - Bạch Tuộc &amp; Chân Gà Sốt Thái Xí Muội - Đỗ Bí (không có menu)	96 Đỗ Bí, P. Phú Thạnh, Tân Phú, TP. HCM	3.5	10+	00:00 - 23:59	19,000	79,000	0.0%	9.1	14
Café/Dessert	Juicy - Sinh Tố, Nước Ép &amp; Trái Cây	85 Đường Số 17, Khu B, P. An Phú, Thủ Đức, TP. HCM	4.5	50+	08:00 - 21:00	15,000	89,000	0.0%	1.0	2
Ăn vặt/vỉa hè	TiNi Fruit - Trái Cây Cắt Sẵn &amp; Ăn Vặt	85 Đường Số 17, P. An Phú, Thủ Đức, TP. HCM	4.5	100+	08:00 - 21:00	15,000	100,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Kem Bơ Sinh Tố &amp; Trái Cây Tô - Như Ý	231 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM	4.5	100+	09:00 - 23:00	12,000	30,000	0.0%	<span>_._</span>	0
Café/Dessert	Trà Sữa Jungo - 128 Tân Quý	128 Tân Quý, P. Tân Quý, Tân Phú, TP. HCM	4.5	100+	08:00 - 22:30	29,000	52,000	0.0%	10.0	1
Nhà hàng	Carobello - Pizza &amp; Pasta - Vinhomes Central Park	19 Trần Ngọc Diện. P. Thảo Điền, Thủ Đức, TP. HCM	4.5	100+	09:30 - 21:30	30,000	500,000	0.0%	4.7	8
Shop Online	Nui Xào Bò, Mì Xào Bò &amp; Bánh Canh O Hồng	6/19A Phạm Quý Thích, P. Tân Quý, Tân Phú, TP. HCM	5.0	10+	06:00 - 23:30	15,000	15,000	0.0%	<span>_._</span>	0
Café/Dessert, Quán ăn	Reviet Juice - Nước Ép &amp; Sinh Tố	11B Tân Quý, P. Tân Quý, Tân Phú, TP. HCM	4.5	500+	08:00 - 21:00	25,000	50,000	0.0%	7.4	1
Tiệm bánh	Mẹ Nâu Bakery - Hồng Bàng	683/7/11 Hồng Bàng, P. 6, Quận 6, TP. HCM	4.5	50+	08:00 - 19:30	5,000	60,000	0.0%	<span>_._</span>	0
Quán ăn	Kem Ý Tự Chọn &amp; Fastfood  - Dương Bá Trạc	53T Dương Bá Trạc, P. 1, Quận 8, TP. HCM	0.0	3	10:00 - 21:00	0	0	0.0%	<span>_._</span>	0
Quán ăn	Gà Nướng Muối Ớt Kim Sa - Tân Thới Nhất 21	110 Tân Thới Nhất 21, P. Tân Thới Nhất, Quận 12, TP. HCM	3.0	4	07:00 - 23:30	10,000	200,000	0.0%	<span>_._</span>	0
Café/Dessert	Sinh Tố Coco - Sinh Tố &amp; Nước Ép	Lầu 1, 111/1 Gò Công, P. 13, Quận 5, TP. HCM	4.5	10+	08:00 - 17:00	18,000	28,000	0.0%	5.0	1
Quán ăn	Gà Ủ Muối Phúc An - Tân Thới Nhất	110 Tân Thới Nhất 21, P. Tân Thới Nhất, Quận 12, TP. HCM	0.0	2	08:00 - 23:00	5,000	399,000	0.0%	<span>_._</span>	0
Café/Dessert	Phúc Tea - Quốc Lộ 1A	545/21 Quốc Lộ 1A, P. An Phú Đông, Quận 12, TP. HCM	4.5	500+	08:30 - 14:59	8,000	40,000	0.0%	6.8	20
Tiệm bánh	Merci Bakery - Bánh Ngọt - Hoàng Văn Hoè	72 Hoàng Văn Hòe, P. Tân Quý, Tân Phú, TP. HCM	4.5	10+	00:00 - 23:59	0	0	0.0%	<span>_._</span>	0
Café/Dessert	SMURFY JUICE - Cafe, Nước Ép &amp; Sinh Tố - Tân Thới Nhất 21 (không có menu)	90/1 Tân Thới Nhất 21, P. Tân Thới Nhất, Quận 12, TP. HCM	4.5	6	00:00 - 23:59	0	0	0.0%	0	0
Quán ăn	Nhà Đậu - Bún Đậu Mắm Tôm - Dương Bá Trạc	288/5 Dương Bá Trạc, P. 2, Quận 8, TP. HCM	4.5	500+	09:00 - 22:45	0	0	0.0%	1.0	1
Shop Online	Thèm Ăn Vặt - Đường Số 27 - Shop Online	27/1C Đường Số 27, P. Hiệp Bình Chánh, Thủ Đức, TP. HCM	4.5	999+	09:00 - 20:00	10,000	50,000	0.0%	10.0	1
Quán ăn	BẾP CƠM MẸ CHỒNG - Cơm Văn Phòng - Nguyễn Văn Vịnh	2/21 Nguyễn Văn Vịnh, P. Hiệp Tân, Tân Phú, TP. HCM	0	0	09:00 - 22:00	0	0	0.0%	0	0
Shop Online	Tiệm Ăn Vặt Củ Cà Rốt - Shop Online	108/40/20 Lê Văn Lương, P. Tân Hưng, Quận 7, TP. HCM	4.5	100+	10:00 - 23:00	5,000	150,000	0.0%	<span>_._</span>	0
Café/Dessert	Sa Kê Coffee - Nước Ép &amp; Sinh Tố	17 Đường T5, P. Tây Thạnh, Tân Phú, TP. HCM	0.0	2	08:00 - 21:30	17,000	28,000	0.0%	<span>_._</span>	0
Café/Dessert	Ami - Coffee &amp; Food - Phạm Thế Hiển	837 Phạm Thế Hiển, P. 4, Quận 8, TP. HCM	4.5	999+	09:00 - 22:00	25,000	40,000	0.0%	8.9	11
Quán ăn	Quán Nướng Hai Phương - Gà Nướng Cơm Lam - 133 Lê Thúc Hoạch	133 Lê Thúc Hoạch, P. Phú Thọ Hòa, Tân Phú, TP. HCM	4.0	10+	00:00 - 23:59	0	0	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Ăn Vặt Đẳng Cấp Siêu Ngon - Khô Gà Lá Chanh - Tô Ngọc Vân	195/20 Tô Ngọc Vân, P. Thạnh Xuân, Quận 12, TP. HCM	0	0	06:00 - 22:00	0	0	0.0%	0	0
Quán ăn	Trà Sữa Ruby - Nguyễn Lộ Trạch	1 Nguyễn Lộ Trạch, P. Tân Quý, Tân Phú, TP. HCM	0.0	1	09:00 - 21:00	20,000	40,000	0.0%	<span>_._</span>	0
Quán ăn	Jeju Quán - Món Ăn Hàn Quốc	167 Tạ Quang Bửu, P. 3, Quận 8, TP. HCM	4.5	100+	10:00 - 22:00	22,000	79,000	0.0%	7.2	19
Ăn vặt/vỉa hè	KIMMY - Mì Trộn &amp; Trà Sữa	Số 46 Gò Công, P. 13, Quận 5, TP. HCM	4.5	10+	06:00 - 22:30	0	0	0.0%	<span>_._</span>	0
Café/Dessert	Trà Dâu &amp; Sữa Chua Pinkie 24h - Âu Dương Lân	277Bis Âu Dương Lân, Chung Cư Ngọc Phương Nam, P. 2, Quận 8, TP. HCM	4.5	100+	00:00 - 01:00 | 08:30 - 23:59	20,000	40,000	0.0%	<span>_._</span>	0
Café/Dessert	Trà Sữa Tealive - AEON Mall Tân Phú	Tòa Nhà Mới Tầng 2, Aeon Tân Phú, 30 Bờ Bao Tân Thắng, P. Sơn Kỳ, Tân Phú, TP. HCM	4.5	100+	10:00 - 21:30	39,000	56,000	0.0%	6.9	6
Café/Dessert	Cherry - Sinh Tố &amp; Nước Ép	85C Lê Quang Sung, P. 2, Quận 6, TP. HCM	4.5	500+	09:00 - 21:00	6,000	30,000	0.0%	5.0	1
Café/Dessert	Yumi - Trà Sữa &amp; Milo Dầm Trân Châu (không có menu)	237/65/12 Phạm Văn Chiêu, P. 14, Gò Vấp, TP. HCM	4.5	100+	09:30 - 18:30	12,000	35,000	0.0%	0	0
Ăn chay	Cơm Chay Minh Lộc (không có menu)	31B Tôn Thất Thuyết, P. 18, Quận 4, TP. HCM	4.5	500+	06:30 - 23:00	15,000	25,000	0.0%	0	0
