Loại cửa hàng	Tên cửa hàng	Địa chỉ cửa hàng	Số sao trên ShopeeFood	Số lượt đánh giá trên ShopeeFood	Thời gian mở cửa	Giá thấp nhất	Giá cao nhất	Phí dịch vụ	Số sao trên Foody	Số lượt đánh giá trên Foody
Nhà hàng	Fumo - Steak, Pasta &amp; Bar	220/1 Hai Bà Trưng, P. Tân Định, Quận 1, TP. HCM	4.5	50+	11:00 - 13:30 | 17:30 - 21:30	40,000	365,000	0.0%	8.1	159
Quán ăn	TA - Mì Ý &amp; Pizza	525/10 Huỳnh Văn Bánh, P. 14, Phú Nhuận, TP. HCM	4.5	10+	08:30 - 22:00	29,000	99,000	0.0%	8.0	1
Nhà hàng	Gen Dining - Nhà Hàng Âu Á	140 Lý Chính Thắng, P. 7, Quận 3, TP. HCM	5.0	3	09:00 - 22:00	100,000	200,000	0.0%	5.0	1
Quán ăn	Alo Beefsteak	25 Trường Sơn, P. 4, Tân Bình, TP. HCM	0.0	3	09:00 - 22:00	50,000	300,000	0.0%	<span>_._</span>	0
Quán ăn	Cocha Micha - Quán Cơm Chảo	123 Đinh Tiên Hoàng, P. 3, Bình Thạnh, TP. HCM	4.5	50+	09:00 - 21:00	45,000	140,000	0.0%	7.0	50
Nhà hàng	Mr.Ox Steak House - Nguyễn Văn Đậu	40/13 Nguyễn Văn Đậu, P. 6, Bình Thạnh, TP. HCM	4.5	10+	17:00 - 22:00	25,000	50,000	ShopeeFood</span	8.0	25
Quán ăn	S Phượt Quán - Spaghetti &amp; Các Món Âu Á	3A Lam Sơn, P. 2, Tân Bình, TP. HCM	3.5	10+	08:00 - 21:00	35,000	85,000	0.0%	<span>_._</span>	0
Nhà hàng	BtcX Coffee &amp; Drink - Pizza - Yên Thế	28 Yên Thế, P. 2, Tân Bình, TP. HCM	0	0	10:00 - 22:00	0	0	0.0%	0	0
Shop Online	COBOFOOD - Trà Sữa &amp; Tàu Hủ - Nguyễn Công Hoan (không có menu)	38/7 Nguyễn Công Hoan, P.7, Phú Nhuận, TP. HCM	5.0	3	10:00 - 23:00	0	0	0.0%	<span>_._</span>	0
Shop Online	Đẫm - Mì Ý &amp; Cơm Chiên - Shop Online	240 Hoàng Văn Thụ, P. 4 (Cửa Sau Bên Hông Hẻm), Tân Bình, TP. HCM	4.5	500+	00:00 - 01:01 | 16:20 - 23:59	35,000	70,000	0.0%	9.5	5
Quán ăn	Pizza Roma - Cách Mạng Tháng 8	66B Cách Mạng Tháng 8, P. 6, Quận 3, TP. HCM	4.5	999+	11:00 - 22:30	15,000	110,000	0.0%	5.6	33
Nhà hàng	Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Mạc Đĩnh Chi	31 Bis Mạc Đĩnh Chi, Quận 1, TP. HCM	4.5	100+	11:00 - 21:00	80,000	695,000	0.0%	7.4	248
Nhà hàng	Pizza Hut - Cách Mạng Tháng 8	731 Cách Mạng Tháng 8, P. 6, Tân Bình, TP. HCM	4.5	100+	09:45 - 21:45	39,000	350,000	0.0%	6.5	31
Nhà hàng	Lotteria - Nguyễn Kiệm	679 Nguyễn Kiệm, P. 3, Gò Vấp, TP. HCM	4.5	999+	08:00 - 22:00	20,000	300,000	0.0%	6.7	37
Nhà hàng	Gà Rán KFC - Vincom Maximark Cộng Hòa	15 - 17 Cộng Hòa, P. 4, Tân Bình, TP. HCM	4.5	500+	10:00 - 21:30	30,000	88,000	0.0%	7.0	44
Quán ăn	A Hên Quán - CƠm Gà Xối Mỡ &amp; Mì Xào Giòn	116 Lê Văn Duyệt, P. 1, Bình Thạnh, TP. HCM	4.5	50+	00:01 - 02:20 | 10:00 - 23:59	30,000	50,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Gà Nướng Cô Gái Ấn - 45A Ung Văn Khiêm	45A Ung Văn Khiêm, P. 25, Bình Thạnh, TP. HCM	4.5	100+	00:00 - 01:15 | 15:30 - 23:59	5,000	130,000	0.0%	<span>_._</span>	0
Quán ăn	Quán Gà Nướng 49 Ung Văn Khiêm - Cơ Sở 2	63S Ung Văn Khiêm, P. 25, Bình Thạnh, TP. HCM	4.5	100+	00:00 - 02:00 | 14:00 - 23:59	5,000	130,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Ăn Vặt Chị 3 - Cá Viên Chiên, Há Cảo	452 Phan Xích Long, P. 2, Phú Nhuận, TP. HCM	4.5	999+	15:00 - 23:59	5,000	20,000	0.0%	6.6	26
Quán ăn	Cơm Tấm Anh Tốt - Mai Văn Ngọc	22/1 Mai Văn Ngọc, P. 10, Phú Nhuận, TP. HCM	4.5	10+	16:00 - 21:00	30,000	50,000	0.0%	<span>_._</span>	0
Quán ăn	Cơm Bình Dân - 27 Hồ Biểu Chánh	27 Hồ Biểu Chánh, P. 11, Phú Nhuận, TP. HCM	5.0	2	11:00 - 22:00	22,000	23,000	ShopeeFood</span	<span>_._</span>	0
Quán ăn	Ốc Hòa - Ốc Bình Dân	195/25 Trần văn Đang, P. 11, Quận 3, TP. HCM	4.5	999+	15:00 - 23:59	30,000	40,000	0.0%	7.1	83
Quán ăn	Don Chicken - Nhà Hàng Gà Nướng Hàn Quốc - Phan Xích Long (không có menu)	222 Phan Xích Long, P. 7, Phú Nhuận, TP. HCM	4.5	100+	11:00 - 21:30	76,000	330,000	0.0%	0	0
Nhà hàng	Agechan Restaurant - Cơm &amp; Món Ăn Nhật	814 Nguyễn Kiệm, P. 3, Gò Vấp, TP. HCM	4.5	100+	11:00 - 22:00	20,000	60,000	0.0%	8.8	16
Ăn vặt/vỉa hè	Đợi - Gà Nướng Ớt	1153 Hoàng Sa, P. 5, Tân Bình, TP. HCM	4.5	999+	10:00 - 22:00	150,000	150,000	0.0%	7.6	21
Quán ăn	Thảo Tùng Quán - Cơm Gà Cháy Tỏi	336 Trần Văn Đang, P. 11, Quận 3, TP. HCM	4.5	100+	11:00 - 22:30	25,000	30,000	0.0%	10.0	1
