Loại cửa hàng	Tên cửa hàng	Địa chỉ cửa hàng	Số sao trên ShopeeFood	Số lượt đánh giá trên ShopeeFood	Thời gian mở cửa	Giá thấp nhất	Giá cao nhất	Phí dịch vụ	Số sao trên Foody	Số lượt đánh giá trên Foody
Quán ăn	Quán Toàn - Vựa Hải Sản - Nguyễn Thị Tần	94 Nguyễn Thị Tần, P. 2, Quận 8, TP. HCM	4.5	50+	08:00 - 21:00	40,000	600,000	0.0%	<span>_._</span>	0
Ăn vặt/vỉa hè	Anh Ba Gạo - Fast Food	61/23/1 Đường Số 48, P. Hiệp Bình Chánh, Thủ Đức, TP. HCM	4.5	100+	06:30 - 23:59	5,000	8,000	0.0%	4.5	2
Quán ăn	Cơm 67 - Cơm Văn Phòng	1029 Nguyễn Trãi, P. 14, Quận 5, TP. HCM	4.5	999+	09:30 - 21:40	25,000	50,000	0.0%	4.5	6
Quán ăn	Gà Ta Quán - Đường Số 44	35/8 Đường Số 44, P. 14, Gò Vấp, TP. HCM	5.0	10+	09:00 - 16:30 | 20:00 - 22:20	15,000	340,000	0.0%	<span>_._</span>	0
Quán ăn	Phở Hà Nội An Nhiên - Bờ Bao Tân Thắng	20/14 Bờ Bao Tân Thắng, P. Sơn Kỳ, Tân Phú, TP. HCM	0.0	1	06:00 - 22:00	5,000	99,000	0.0%	<span>_._</span>	0
Café/Dessert	Trà sữa Huy's - Vườn Lài	461 Vườn Lài, P. Phú Thọ Hòa, Tân Phú, TP. HCM	4.5	100+	08:00 - 22:00	15,000	48,000	0.0%	<span>_._</span>	0
Quán ăn	Dimsum Uncle - Minh Phụng	322/9 Minh Phụng, P. 2, Quận 11, TP. HCM	4.5	10+	08:00 - 22:00	20,000	50,000	0.0%	<span>_._</span>	0
Quán ăn	Mr.Bún - Bún Thịt Nướng - Lê Trọng Tấn	380/25 Lê Trọng Tấn, P. Tây Thạnh, Tân Phú, TP. HCM	4.5	10+	00:00 - 02:00 | 08:00 - 23:59	5,000	50,000	0.0%	<span>_._</span>	0
Café/Dessert	Cà Phê Ông Bầu - Xóm Vôi	37 Xóm Vôi, P. 14, Quận 5, TP. HCM	4.5	100+	07:00 - 20:30	16,000	35,000	0.0%	8.6	7
Quán ăn	3M Gà Rán - Trà Sữa &amp; Bắp Rang Bơ - Gò Dầu	186 Gò Dầu, P. Tân Qúy, Tân Phú, TP. HCM	4.5	10+	08:15 - 22:30	18,000	30,000	0.0%	<span>_._</span>	0
