,Food,Price
0,Salad ức gà áp chảo sốt  basamic,"45,000"
1,Salad lườn ngỗng sốt mù tạt mật ong,"59,000"
2,Salad bò nướng tỏi đen sốt Basamic,"59,000"
3,Mixed salad cá ngừ sa tế,"49,000"
4,Bò Mỹ thanh lõi vai,"145,000"
5,Hokobee 200g,"270,000"
6,Bánh mì bơ tỏi,"20,000"
7,Mì Ý hải sản sốt Pesto xanh,"69,000"
8,Mì Ý hải sản sốt trứng muối,"69,000"
9,Mì Ý Lingune sốt bò bằm,"59,000"
10,Mì Ý hải sản sốt Tomyum,"69,000"
11,Mì Ý cabonara,"69,000"
12,Mì Ý pesto gà,"59,000"
